             Vardas                           Pavarde                     Galutinis (Vid.)         
             Vardas1                         Pavarde1                           2.73               
             Vardas8                         Pavarde8                           2.33               
            Vardas12                         Pavarde12                          3.62               
            Vardas13                         Pavarde13                          2.12               
            Vardas15                         Pavarde15                          1.37               
            Vardas18                         Pavarde18                          1.70               
            Vardas25                         Pavarde25                          3.60               
            Vardas26                         Pavarde26                          4.82               
            Vardas28                         Pavarde28                          1.43               
            Vardas30                         Pavarde30                          1.49               
            Vardas32                         Pavarde32                          4.47               
            Vardas34                         Pavarde34                          4.07               
            Vardas36                         Pavarde36                          4.20               
            Vardas41                         Pavarde41                          2.59               
            Vardas43                         Pavarde43                          2.77               
            Vardas45                         Pavarde45                          4.12               
            Vardas46                         Pavarde46                          4.34               
            Vardas47                         Pavarde47                          2.32               
            Vardas48                         Pavarde48                          3.04               
            Vardas50                         Pavarde50                          3.82               
            Vardas51                         Pavarde51                          2.25               
            Vardas52                         Pavarde52                          1.47               
            Vardas53                         Pavarde53                          2.93               
            Vardas54                         Pavarde54                          3.38               
            Vardas57                         Pavarde57                          3.98               
            Vardas60                         Pavarde60                          3.26               
            Vardas61                         Pavarde61                          4.25               
            Vardas62                         Pavarde62                          3.69               
            Vardas63                         Pavarde63                          3.31               
            Vardas64                         Pavarde64                          3.80               
            Vardas65                         Pavarde65                          2.00               
            Vardas71                         Pavarde71                          4.74               
            Vardas78                         Pavarde78                          4.21               
            Vardas79                         Pavarde79                          2.05               
            Vardas80                         Pavarde80                          2.34               
            Vardas83                         Pavarde83                          4.17               
            Vardas84                         Pavarde84                          4.81               
            Vardas85                         Pavarde85                          2.50               
            Vardas87                         Pavarde87                          1.66               
            Vardas89                         Pavarde89                          3.33               
            Vardas92                         Pavarde92                          2.50               
            Vardas93                         Pavarde93                          4.60               
            Vardas94                         Pavarde94                          1.50               
            Vardas96                         Pavarde96                          3.97               
            Vardas102                       Pavarde102                          1.96               
            Vardas105                       Pavarde105                          3.78               
            Vardas106                       Pavarde106                          2.82               
            Vardas108                       Pavarde108                          2.38               
            Vardas110                       Pavarde110                          2.70               
            Vardas114                       Pavarde114                          2.68               
            Vardas115                       Pavarde115                          2.55               
            Vardas118                       Pavarde118                          2.74               
            Vardas121                       Pavarde121                          1.63               
            Vardas125                       Pavarde125                          3.38               
            Vardas126                       Pavarde126                          4.18               
            Vardas128                       Pavarde128                          3.50               
            Vardas129                       Pavarde129                          4.53               
            Vardas131                       Pavarde131                          1.90               
            Vardas132                       Pavarde132                          4.68               
            Vardas133                       Pavarde133                          3.79               
            Vardas136                       Pavarde136                          2.89               
            Vardas138                       Pavarde138                          2.43               
            Vardas139                       Pavarde139                          3.51               
            Vardas140                       Pavarde140                          4.21               
            Vardas143                       Pavarde143                          4.73               
            Vardas144                       Pavarde144                          4.84               
            Vardas145                       Pavarde145                          1.88               
            Vardas146                       Pavarde146                          3.36               
            Vardas147                       Pavarde147                          4.09               
            Vardas148                       Pavarde148                          3.66               
            Vardas151                       Pavarde151                          3.03               
            Vardas153                       Pavarde153                          4.03               
            Vardas154                       Pavarde154                          4.04               
            Vardas155                       Pavarde155                          3.82               
            Vardas158                       Pavarde158                          3.76               
            Vardas159                       Pavarde159                          3.77               
            Vardas160                       Pavarde160                          4.61               
            Vardas164                       Pavarde164                          2.60               
            Vardas167                       Pavarde167                          4.88               
            Vardas174                       Pavarde174                          3.51               
            Vardas175                       Pavarde175                          3.03               
            Vardas176                       Pavarde176                          4.67               
            Vardas177                       Pavarde177                          3.47               
            Vardas178                       Pavarde178                          2.08               
            Vardas179                       Pavarde179                          4.17               
            Vardas180                       Pavarde180                          1.88               
            Vardas182                       Pavarde182                          1.35               
            Vardas192                       Pavarde192                          4.87               
            Vardas193                       Pavarde193                          3.49               
            Vardas198                       Pavarde198                          3.77               
            Vardas203                       Pavarde203                          3.08               
            Vardas207                       Pavarde207                          3.93               
            Vardas209                       Pavarde209                          4.03               
            Vardas213                       Pavarde213                          3.46               
            Vardas214                       Pavarde214                          3.35               
            Vardas218                       Pavarde218                          2.26               
            Vardas220                       Pavarde220                          1.13               
            Vardas223                       Pavarde223                          4.42               
            Vardas224                       Pavarde224                          2.53               
            Vardas225                       Pavarde225                          3.65               
            Vardas227                       Pavarde227                          2.55               
            Vardas228                       Pavarde228                          4.26               
            Vardas230                       Pavarde230                          3.23               
            Vardas232                       Pavarde232                          3.38               
            Vardas233                       Pavarde233                          4.16               
            Vardas234                       Pavarde234                          2.79               
            Vardas236                       Pavarde236                          4.00               
            Vardas237                       Pavarde237                          1.18               
            Vardas239                       Pavarde239                          2.02               
            Vardas243                       Pavarde243                          4.50               
            Vardas244                       Pavarde244                          3.95               
            Vardas247                       Pavarde247                          3.62               
            Vardas251                       Pavarde251                          2.00               
            Vardas254                       Pavarde254                          4.79               
            Vardas255                       Pavarde255                          3.45               
            Vardas257                       Pavarde257                          2.10               
            Vardas260                       Pavarde260                          4.70               
            Vardas263                       Pavarde263                          4.29               
            Vardas265                       Pavarde265                          0.90               
            Vardas266                       Pavarde266                          2.26               
            Vardas270                       Pavarde270                          3.13               
            Vardas273                       Pavarde273                          2.12               
            Vardas275                       Pavarde275                          4.48               
            Vardas277                       Pavarde277                          3.22               
            Vardas278                       Pavarde278                          3.34               
            Vardas279                       Pavarde279                          3.29               
            Vardas280                       Pavarde280                          2.22               
            Vardas282                       Pavarde282                          2.96               
            Vardas283                       Pavarde283                          3.37               
            Vardas284                       Pavarde284                          4.71               
            Vardas285                       Pavarde285                          2.82               
            Vardas287                       Pavarde287                          1.87               
            Vardas289                       Pavarde289                          3.38               
            Vardas290                       Pavarde290                          2.12               
            Vardas291                       Pavarde291                          4.00               
            Vardas293                       Pavarde293                          2.82               
            Vardas295                       Pavarde295                          4.39               
            Vardas299                       Pavarde299                          4.07               
            Vardas300                       Pavarde300                          4.01               
            Vardas304                       Pavarde304                          2.77               
            Vardas310                       Pavarde310                          1.02               
            Vardas313                       Pavarde313                          2.22               
            Vardas317                       Pavarde317                          3.38               
            Vardas318                       Pavarde318                          4.51               
            Vardas320                       Pavarde320                          2.79               
            Vardas321                       Pavarde321                          4.29               
            Vardas326                       Pavarde326                          2.66               
            Vardas327                       Pavarde327                          4.13               
            Vardas328                       Pavarde328                          4.50               
            Vardas329                       Pavarde329                          3.52               
            Vardas330                       Pavarde330                          3.03               
            Vardas331                       Pavarde331                          1.06               
            Vardas332                       Pavarde332                          4.15               
            Vardas335                       Pavarde335                          2.41               
            Vardas338                       Pavarde338                          1.71               
            Vardas340                       Pavarde340                          2.00               
            Vardas342                       Pavarde342                          3.94               
            Vardas344                       Pavarde344                          4.45               
            Vardas348                       Pavarde348                          2.45               
            Vardas351                       Pavarde351                          1.65               
            Vardas355                       Pavarde355                          2.30               
            Vardas359                       Pavarde359                          1.78               
            Vardas360                       Pavarde360                          4.45               
            Vardas361                       Pavarde361                          3.63               
            Vardas364                       Pavarde364                          4.39               
            Vardas366                       Pavarde366                          3.15               
            Vardas368                       Pavarde368                          1.57               
            Vardas369                       Pavarde369                          2.43               
            Vardas370                       Pavarde370                          3.87               
            Vardas371                       Pavarde371                          2.61               
            Vardas373                       Pavarde373                          3.17               
            Vardas375                       Pavarde375                          3.04               
            Vardas377                       Pavarde377                          1.34               
            Vardas378                       Pavarde378                          4.14               
            Vardas382                       Pavarde382                          4.88               
            Vardas383                       Pavarde383                          2.19               
            Vardas384                       Pavarde384                          2.29               
            Vardas385                       Pavarde385                          4.48               
            Vardas386                       Pavarde386                          4.97               
            Vardas387                       Pavarde387                          4.02               
            Vardas388                       Pavarde388                          2.60               
            Vardas389                       Pavarde389                          4.27               
            Vardas390                       Pavarde390                          3.63               
            Vardas391                       Pavarde391                          3.08               
            Vardas393                       Pavarde393                          2.60               
            Vardas394                       Pavarde394                          1.56               
            Vardas395                       Pavarde395                          2.41               
            Vardas396                       Pavarde396                          3.85               
            Vardas397                       Pavarde397                          1.81               
            Vardas399                       Pavarde399                          3.51               
            Vardas401                       Pavarde401                          1.68               
            Vardas403                       Pavarde403                          2.88               
            Vardas410                       Pavarde410                          1.16               
            Vardas411                       Pavarde411                          4.45               
            Vardas413                       Pavarde413                          2.82               
            Vardas414                       Pavarde414                          2.53               
            Vardas419                       Pavarde419                          4.13               
            Vardas420                       Pavarde420                          2.41               
            Vardas421                       Pavarde421                          2.98               
            Vardas425                       Pavarde425                          2.04               
            Vardas427                       Pavarde427                          3.81               
            Vardas430                       Pavarde430                          2.67               
            Vardas432                       Pavarde432                          2.09               
            Vardas435                       Pavarde435                          2.24               
            Vardas437                       Pavarde437                          2.22               
            Vardas440                       Pavarde440                          4.51               
            Vardas445                       Pavarde445                          3.74               
            Vardas446                       Pavarde446                          3.07               
            Vardas448                       Pavarde448                          2.35               
            Vardas449                       Pavarde449                          2.92               
            Vardas450                       Pavarde450                          3.94               
            Vardas453                       Pavarde453                          2.92               
            Vardas455                       Pavarde455                          1.84               
            Vardas458                       Pavarde458                          2.61               
            Vardas459                       Pavarde459                          3.03               
            Vardas460                       Pavarde460                          2.54               
            Vardas467                       Pavarde467                          1.63               
            Vardas471                       Pavarde471                          2.49               
            Vardas481                       Pavarde481                          2.67               
            Vardas482                       Pavarde482                          1.48               
            Vardas485                       Pavarde485                          4.29               
            Vardas487                       Pavarde487                          3.58               
            Vardas488                       Pavarde488                          1.94               
            Vardas495                       Pavarde495                          2.86               
            Vardas498                       Pavarde498                          3.61               
            Vardas503                       Pavarde503                          2.47               
