             Vardas                           Pavarde                     Galutinis (Vid.)         
             Vardas1                         Pavarde1                           7.12               
             Vardas2                         Pavarde2                           5.86               
             Vardas3                         Pavarde3                           5.77               
             Vardas4                         Pavarde4                           5.56               
             Vardas6                         Pavarde6                           7.49               
             Vardas9                         Pavarde9                           5.41               
            Vardas10                         Pavarde10                          6.16               
            Vardas12                         Pavarde12                          5.34               
            Vardas14                         Pavarde14                          7.90               
            Vardas15                         Pavarde15                          5.96               
            Vardas19                         Pavarde19                          7.60               
            Vardas20                         Pavarde20                          8.43               
            Vardas22                         Pavarde22                          5.88               
            Vardas23                         Pavarde23                          5.02               
            Vardas24                         Pavarde24                          6.13               
            Vardas25                         Pavarde25                          7.27               
            Vardas29                         Pavarde29                          5.71               
            Vardas32                         Pavarde32                          6.69               
            Vardas33                         Pavarde33                          7.09               
            Vardas34                         Pavarde34                          6.62               
            Vardas35                         Pavarde35                          7.84               
            Vardas38                         Pavarde38                          5.25               
            Vardas42                         Pavarde42                          5.66               
            Vardas43                         Pavarde43                          8.88               
            Vardas45                         Pavarde45                          6.26               
            Vardas46                         Pavarde46                          8.84               
            Vardas48                         Pavarde48                          8.26               
            Vardas51                         Pavarde51                          5.12               
            Vardas52                         Pavarde52                          7.86               
            Vardas53                         Pavarde53                          6.73               
            Vardas54                         Pavarde54                          7.58               
            Vardas56                         Pavarde56                          7.17               
            Vardas57                         Pavarde57                          7.28               
            Vardas58                         Pavarde58                          5.08               
            Vardas61                         Pavarde61                          5.28               
            Vardas64                         Pavarde64                          7.40               
            Vardas65                         Pavarde65                          6.78               
            Vardas66                         Pavarde66                          8.25               
            Vardas68                         Pavarde68                          7.36               
            Vardas70                         Pavarde70                          6.65               
            Vardas71                         Pavarde71                          5.92               
            Vardas73                         Pavarde73                          5.30               
            Vardas74                         Pavarde74                          7.02               
            Vardas77                         Pavarde77                          5.21               
            Vardas78                         Pavarde78                          6.93               
            Vardas79                         Pavarde79                          6.57               
            Vardas80                         Pavarde80                          7.85               
            Vardas81                         Pavarde81                          7.81               
            Vardas82                         Pavarde82                          6.70               
            Vardas84                         Pavarde84                          5.81               
            Vardas85                         Pavarde85                          5.21               
            Vardas86                         Pavarde86                          6.06               
            Vardas88                         Pavarde88                          5.27               
            Vardas90                         Pavarde90                          7.33               
            Vardas91                         Pavarde91                          7.71               
            Vardas92                         Pavarde92                          6.10               
            Vardas94                         Pavarde94                          7.55               
            Vardas95                         Pavarde95                          7.82               
            Vardas96                         Pavarde96                          6.47               
            Vardas98                         Pavarde98                          5.11               
            Vardas100                       Pavarde100                          5.67               
            Vardas102                       Pavarde102                          7.67               
            Vardas103                       Pavarde103                          7.57               
            Vardas104                       Pavarde104                          8.09               
            Vardas105                       Pavarde105                          7.07               
            Vardas106                       Pavarde106                          5.09               
            Vardas107                       Pavarde107                          6.18               
            Vardas108                       Pavarde108                          6.99               
            Vardas109                       Pavarde109                          6.58               
            Vardas110                       Pavarde110                          7.88               
            Vardas111                       Pavarde111                          5.46               
            Vardas112                       Pavarde112                          5.64               
            Vardas115                       Pavarde115                          6.09               
            Vardas118                       Pavarde118                          7.87               
            Vardas124                       Pavarde124                          7.83               
            Vardas125                       Pavarde125                          7.17               
            Vardas126                       Pavarde126                          7.47               
            Vardas130                       Pavarde130                          7.62               
            Vardas132                       Pavarde132                          6.89               
            Vardas133                       Pavarde133                          6.75               
            Vardas134                       Pavarde134                          6.62               
            Vardas136                       Pavarde136                          5.51               
            Vardas138                       Pavarde138                          5.25               
            Vardas143                       Pavarde143                          8.34               
            Vardas145                       Pavarde145                          5.58               
            Vardas147                       Pavarde147                          7.27               
            Vardas148                       Pavarde148                          5.15               
            Vardas152                       Pavarde152                          6.88               
            Vardas153                       Pavarde153                          7.75               
            Vardas155                       Pavarde155                          5.86               
            Vardas158                       Pavarde158                          7.54               
            Vardas161                       Pavarde161                          5.64               
            Vardas164                       Pavarde164                          5.96               
            Vardas165                       Pavarde165                          7.27               
            Vardas168                       Pavarde168                          5.73               
            Vardas169                       Pavarde169                          5.98               
            Vardas171                       Pavarde171                          8.75               
            Vardas172                       Pavarde172                          5.60               
            Vardas173                       Pavarde173                          6.65               
            Vardas176                       Pavarde176                          7.80               
            Vardas177                       Pavarde177                          7.75               
            Vardas181                       Pavarde181                          6.82               
            Vardas182                       Pavarde182                          6.86               
            Vardas185                       Pavarde185                          6.61               
            Vardas186                       Pavarde186                          7.49               
