             Vardas                           Pavarde                     Galutinis (Vid.)         
             Vardas3                         Pavarde3                           6.51               
             Vardas4                         Pavarde4                           6.51               
             Vardas6                         Pavarde6                           7.25               
             Vardas8                         Pavarde8                           9.06               
            Vardas11                         Pavarde11                          7.24               
            Vardas13                         Pavarde13                          7.86               
            Vardas14                         Pavarde14                          6.00               
            Vardas15                         Pavarde15                          7.71               
            Vardas16                         Pavarde16                          8.46               
            Vardas18                         Pavarde18                          7.20               
            Vardas19                         Pavarde19                          5.13               
            Vardas21                         Pavarde21                          5.29               
            Vardas24                         Pavarde24                          8.67               
            Vardas26                         Pavarde26                          5.56               
            Vardas32                         Pavarde32                          7.75               
            Vardas34                         Pavarde34                          7.55               
            Vardas35                         Pavarde35                          6.24               
            Vardas36                         Pavarde36                          7.94               
            Vardas39                         Pavarde39                          5.46               
            Vardas42                         Pavarde42                          6.29               
            Vardas43                         Pavarde43                          8.05               
            Vardas45                         Pavarde45                          5.02               
            Vardas47                         Pavarde47                          5.34               
            Vardas48                         Pavarde48                          6.35               
            Vardas49                         Pavarde49                          5.62               
            Vardas52                         Pavarde52                          7.90               
            Vardas56                         Pavarde56                          8.78               
            Vardas57                         Pavarde57                          7.54               
            Vardas58                         Pavarde58                          8.07               
            Vardas61                         Pavarde61                          6.90               
            Vardas63                         Pavarde63                          8.74               
            Vardas65                         Pavarde65                          5.09               
            Vardas67                         Pavarde67                          7.66               
            Vardas71                         Pavarde71                          5.03               
            Vardas73                         Pavarde73                          7.89               
            Vardas74                         Pavarde74                          8.60               
            Vardas76                         Pavarde76                          5.05               
            Vardas77                         Pavarde77                          6.37               
            Vardas78                         Pavarde78                          6.02               
            Vardas79                         Pavarde79                          7.60               
            Vardas80                         Pavarde80                          5.68               
            Vardas81                         Pavarde81                          6.37               
            Vardas82                         Pavarde82                          5.94               
            Vardas83                         Pavarde83                          7.57               
            Vardas84                         Pavarde84                          6.63               
            Vardas89                         Pavarde89                          8.18               
            Vardas92                         Pavarde92                          5.42               
            Vardas94                         Pavarde94                          8.42               
            Vardas97                         Pavarde97                          5.73               
            Vardas98                         Pavarde98                          7.21               
            Vardas99                         Pavarde99                          7.03               
            Vardas100                       Pavarde100                          5.78               
            Vardas103                       Pavarde103                          5.87               
            Vardas104                       Pavarde104                          6.44               
            Vardas106                       Pavarde106                          6.54               
            Vardas107                       Pavarde107                          7.15               
            Vardas109                       Pavarde109                          6.98               
            Vardas112                       Pavarde112                          6.01               
            Vardas113                       Pavarde113                          6.95               
            Vardas116                       Pavarde116                          8.24               
            Vardas119                       Pavarde119                          5.09               
            Vardas120                       Pavarde120                          7.21               
            Vardas122                       Pavarde122                          7.90               
            Vardas127                       Pavarde127                          7.60               
            Vardas128                       Pavarde128                          6.77               
            Vardas129                       Pavarde129                          5.13               
            Vardas130                       Pavarde130                          8.07               
            Vardas131                       Pavarde131                          7.99               
            Vardas136                       Pavarde136                          5.31               
            Vardas140                       Pavarde140                          7.88               
            Vardas141                       Pavarde141                          5.46               
            Vardas144                       Pavarde144                          5.78               
            Vardas145                       Pavarde145                          5.89               
            Vardas146                       Pavarde146                          6.99               
            Vardas148                       Pavarde148                          6.83               
            Vardas149                       Pavarde149                          7.35               
            Vardas150                       Pavarde150                          5.85               
            Vardas152                       Pavarde152                          7.65               
            Vardas153                       Pavarde153                          7.76               
            Vardas155                       Pavarde155                          6.02               
            Vardas158                       Pavarde158                          6.13               
            Vardas162                       Pavarde162                          5.98               
            Vardas163                       Pavarde163                          8.25               
            Vardas165                       Pavarde165                          5.51               
            Vardas166                       Pavarde166                          6.28               
            Vardas168                       Pavarde168                          6.24               
            Vardas170                       Pavarde170                          5.58               
            Vardas176                       Pavarde176                          7.22               
            Vardas177                       Pavarde177                          6.75               
            Vardas178                       Pavarde178                          6.28               
            Vardas180                       Pavarde180                          9.03               
            Vardas181                       Pavarde181                          5.10               
            Vardas188                       Pavarde188                          7.63               
            Vardas189                       Pavarde189                          5.25               
            Vardas190                       Pavarde190                          5.01               
            Vardas195                       Pavarde195                          7.07               
            Vardas196                       Pavarde196                          7.82               
            Vardas200                       Pavarde200                          5.24               
            Vardas201                       Pavarde201                          5.66               
            Vardas202                       Pavarde202                          8.19               
            Vardas208                       Pavarde208                          5.69               
            Vardas209                       Pavarde209                          7.86               
            Vardas214                       Pavarde214                          7.40               
            Vardas216                       Pavarde216                          7.58               
            Vardas217                       Pavarde217                          7.90               
            Vardas218                       Pavarde218                          5.09               
            Vardas219                       Pavarde219                          5.39               
            Vardas220                       Pavarde220                          6.60               
            Vardas222                       Pavarde222                          6.24               
            Vardas227                       Pavarde227                          5.39               
            Vardas229                       Pavarde229                          7.70               
            Vardas230                       Pavarde230                          6.24               
            Vardas240                       Pavarde240                          5.18               
            Vardas242                       Pavarde242                          5.55               
            Vardas243                       Pavarde243                          5.03               
            Vardas244                       Pavarde244                          8.65               
            Vardas245                       Pavarde245                          5.47               
            Vardas249                       Pavarde249                          8.10               
            Vardas250                       Pavarde250                          6.96               
            Vardas252                       Pavarde252                          8.13               
            Vardas253                       Pavarde253                          7.84               
            Vardas254                       Pavarde254                          7.87               
            Vardas256                       Pavarde256                          6.99               
            Vardas257                       Pavarde257                          5.56               
            Vardas260                       Pavarde260                          6.33               
            Vardas265                       Pavarde265                          7.10               
            Vardas268                       Pavarde268                          7.89               
            Vardas269                       Pavarde269                          6.49               
            Vardas271                       Pavarde271                          5.86               
            Vardas274                       Pavarde274                          5.07               
            Vardas276                       Pavarde276                          6.11               
            Vardas277                       Pavarde277                          5.49               
            Vardas278                       Pavarde278                          6.75               
            Vardas280                       Pavarde280                          6.76               
