             Vardas                           Pavarde                     Galutinis (Vid.)         
             Vardas1                         Pavarde1                           1.99               
             Vardas5                         Pavarde5                           3.42               
             Vardas6                         Pavarde6                           2.58               
             Vardas7                         Pavarde7                           2.19               
            Vardas11                         Pavarde11                          2.50               
            Vardas12                         Pavarde12                          3.45               
            Vardas14                         Pavarde14                          2.59               
            Vardas15                         Pavarde15                          3.86               
            Vardas18                         Pavarde18                          4.23               
            Vardas20                         Pavarde20                          2.27               
            Vardas21                         Pavarde21                          3.57               
            Vardas22                         Pavarde22                          2.80               
            Vardas23                         Pavarde23                          4.63               
            Vardas25                         Pavarde25                          2.78               
            Vardas26                         Pavarde26                          4.71               
            Vardas27                         Pavarde27                          3.14               
            Vardas28                         Pavarde28                          3.39               
            Vardas29                         Pavarde29                          1.78               
            Vardas31                         Pavarde31                          4.56               
            Vardas32                         Pavarde32                          1.80               
            Vardas33                         Pavarde33                          3.82               
            Vardas34                         Pavarde34                          4.37               
            Vardas35                         Pavarde35                          3.64               
            Vardas37                         Pavarde37                          4.25               
            Vardas40                         Pavarde40                          2.11               
            Vardas42                         Pavarde42                          2.95               
            Vardas44                         Pavarde44                          2.21               
            Vardas46                         Pavarde46                          4.02               
            Vardas47                         Pavarde47                          1.72               
            Vardas50                         Pavarde50                          3.62               
            Vardas52                         Pavarde52                          4.51               
            Vardas53                         Pavarde53                          4.21               
            Vardas55                         Pavarde55                          3.24               
            Vardas57                         Pavarde57                          3.55               
            Vardas58                         Pavarde58                          2.60               
            Vardas60                         Pavarde60                          1.31               
            Vardas61                         Pavarde61                          2.01               
            Vardas62                         Pavarde62                          3.47               
            Vardas63                         Pavarde63                          4.30               
            Vardas64                         Pavarde64                          3.38               
            Vardas65                         Pavarde65                          1.66               
            Vardas66                         Pavarde66                          3.43               
            Vardas68                         Pavarde68                          2.01               
            Vardas69                         Pavarde69                          3.82               
            Vardas70                         Pavarde70                          3.65               
            Vardas71                         Pavarde71                          1.97               
            Vardas72                         Pavarde72                          3.59               
            Vardas73                         Pavarde73                          4.82               
            Vardas75                         Pavarde75                          3.23               
            Vardas76                         Pavarde76                          3.29               
            Vardas77                         Pavarde77                          2.03               
            Vardas78                         Pavarde78                          4.74               
            Vardas79                         Pavarde79                          3.84               
            Vardas80                         Pavarde80                          2.76               
            Vardas82                         Pavarde82                          2.06               
            Vardas84                         Pavarde84                          1.51               
            Vardas86                         Pavarde86                          2.05               
            Vardas89                         Pavarde89                          3.78               
            Vardas91                         Pavarde91                          3.79               
            Vardas93                         Pavarde93                          4.58               
            Vardas95                         Pavarde95                          4.45               
            Vardas96                         Pavarde96                          1.53               
