             Vardas                           Pavarde                     Galutinis (Vid.)         
             Vardas0                         Pavarde0                           3.42               
             Vardas1                         Pavarde1                           7.12               
             Vardas2                         Pavarde2                           5.86               
             Vardas3                         Pavarde3                           5.77               
             Vardas4                         Pavarde4                           5.56               
             Vardas5                         Pavarde5                           3.42               
             Vardas6                         Pavarde6                           7.49               
             Vardas7                         Pavarde7                           3.42               
             Vardas8                         Pavarde8                           2.49               
             Vardas9                         Pavarde9                           5.41               
            Vardas10                         Pavarde10                          6.16               
            Vardas11                         Pavarde11                          3.49               
            Vardas12                         Pavarde12                          5.34               
            Vardas13                         Pavarde13                          2.21               
            Vardas14                         Pavarde14                          7.90               
            Vardas15                         Pavarde15                          5.96               
            Vardas16                         Pavarde16                          4.56               
            Vardas17                         Pavarde17                          4.88               
            Vardas18                         Pavarde18                          4.18               
            Vardas19                         Pavarde19                          7.60               
            Vardas20                         Pavarde20                          8.43               
            Vardas21                         Pavarde21                          4.81               
            Vardas22                         Pavarde22                          5.88               
            Vardas23                         Pavarde23                          5.02               
            Vardas24                         Pavarde24                          6.13               
            Vardas25                         Pavarde25                          7.27               
            Vardas26                         Pavarde26                          2.06               
            Vardas27                         Pavarde27                          4.19               
            Vardas28                         Pavarde28                          1.83               
            Vardas29                         Pavarde29                          5.71               
            Vardas30                         Pavarde30                          1.57               
            Vardas31                         Pavarde31                          2.69               
            Vardas32                         Pavarde32                          6.69               
            Vardas33                         Pavarde33                          7.09               
            Vardas34                         Pavarde34                          6.62               
            Vardas35                         Pavarde35                          7.84               
            Vardas36                         Pavarde36                          4.48               
            Vardas37                         Pavarde37                          4.14               
            Vardas38                         Pavarde38                          5.25               
            Vardas39                         Pavarde39                          3.68               
            Vardas40                         Pavarde40                          2.13               
            Vardas41                         Pavarde41                          2.82               
            Vardas42                         Pavarde42                          5.66               
            Vardas43                         Pavarde43                          8.88               
            Vardas44                         Pavarde44                          3.12               
            Vardas45                         Pavarde45                          6.26               
            Vardas46                         Pavarde46                          8.84               
            Vardas47                         Pavarde47                          4.73               
            Vardas48                         Pavarde48                          8.26               
            Vardas49                         Pavarde49                          2.52               
            Vardas50                         Pavarde50                          4.83               
            Vardas51                         Pavarde51                          5.12               
            Vardas52                         Pavarde52                          7.86               
            Vardas53                         Pavarde53                          6.73               
            Vardas54                         Pavarde54                          7.58               
            Vardas55                         Pavarde55                          2.63               
            Vardas56                         Pavarde56                          7.17               
            Vardas57                         Pavarde57                          7.28               
            Vardas58                         Pavarde58                          5.08               
            Vardas59                         Pavarde59                          1.37               
            Vardas60                         Pavarde60                          4.07               
            Vardas61                         Pavarde61                          5.28               
            Vardas62                         Pavarde62                          4.70               
            Vardas63                         Pavarde63                          2.17               
            Vardas64                         Pavarde64                          7.40               
            Vardas65                         Pavarde65                          6.78               
            Vardas66                         Pavarde66                          8.25               
            Vardas67                         Pavarde67                          2.52               
            Vardas68                         Pavarde68                          7.36               
            Vardas69                         Pavarde69                          4.19               
            Vardas70                         Pavarde70                          6.65               
            Vardas71                         Pavarde71                          5.92               
            Vardas72                         Pavarde72                          4.84               
            Vardas73                         Pavarde73                          5.30               
            Vardas74                         Pavarde74                          7.02               
            Vardas75                         Pavarde75                          3.81               
            Vardas76                         Pavarde76                          4.89               
            Vardas77                         Pavarde77                          5.21               
            Vardas78                         Pavarde78                          6.93               
            Vardas79                         Pavarde79                          6.57               
            Vardas80                         Pavarde80                          7.85               
            Vardas81                         Pavarde81                          7.81               
            Vardas82                         Pavarde82                          6.70               
            Vardas83                         Pavarde83                          2.86               
            Vardas84                         Pavarde84                          5.81               
            Vardas85                         Pavarde85                          5.21               
            Vardas86                         Pavarde86                          6.06               
            Vardas87                         Pavarde87                          4.74               
            Vardas88                         Pavarde88                          5.27               
            Vardas89                         Pavarde89                          3.55               
            Vardas90                         Pavarde90                          7.33               
