             Vardas                           Pavarde                     Galutinis (Vid.)         
             Vardas0                         Pavarde0                           6.69               
             Vardas1                         Pavarde1                           4.80               
             Vardas2                         Pavarde2                           3.23               
             Vardas3                         Pavarde3                           2.16               
             Vardas4                         Pavarde4                           4.47               
             Vardas5                         Pavarde5                           5.98               
             Vardas6                         Pavarde6                           4.00               
             Vardas7                         Pavarde7                           1.99               
             Vardas8                         Pavarde8                           3.52               
             Vardas9                         Pavarde9                           7.05               
            Vardas10                         Pavarde10                          5.18               
            Vardas11                         Pavarde11                          5.71               
            Vardas12                         Pavarde12                          4.97               
            Vardas13                         Pavarde13                          1.42               
            Vardas14                         Pavarde14                          1.16               
            Vardas15                         Pavarde15                          7.68               
            Vardas16                         Pavarde16                          4.08               
            Vardas17                         Pavarde17                          4.72               
            Vardas18                         Pavarde18                          3.28               
            Vardas19                         Pavarde19                          5.45               
            Vardas20                         Pavarde20                          4.55               
            Vardas21                         Pavarde21                          2.11               
            Vardas22                         Pavarde22                          7.36               
            Vardas23                         Pavarde23                          4.79               
            Vardas24                         Pavarde24                          3.74               
            Vardas25                         Pavarde25                          2.98               
            Vardas26                         Pavarde26                          7.72               
            Vardas27                         Pavarde27                          5.17               
            Vardas28                         Pavarde28                          8.01               
            Vardas29                         Pavarde29                          1.66               
            Vardas30                         Pavarde30                          5.47               
            Vardas31                         Pavarde31                          8.68               
            Vardas32                         Pavarde32                          2.27               
            Vardas33                         Pavarde33                          6.94               
            Vardas34                         Pavarde34                          6.85               
            Vardas35                         Pavarde35                          3.60               
            Vardas36                         Pavarde36                          6.25               
            Vardas37                         Pavarde37                          2.20               
            Vardas38                         Pavarde38                          5.49               
            Vardas39                         Pavarde39                          6.22               
            Vardas40                         Pavarde40                          5.35               
            Vardas41                         Pavarde41                          5.02               
            Vardas42                         Pavarde42                          4.10               
            Vardas43                         Pavarde43                          4.44               
            Vardas44                         Pavarde44                          2.10               
            Vardas45                         Pavarde45                          4.71               
            Vardas46                         Pavarde46                          2.58               
            Vardas47                         Pavarde47                          7.23               
            Vardas48                         Pavarde48                          1.74               
            Vardas49                         Pavarde49                          3.80               
            Vardas50                         Pavarde50                          4.64               
            Vardas51                         Pavarde51                          2.65               
            Vardas52                         Pavarde52                          3.03               
            Vardas53                         Pavarde53                          6.32               
            Vardas54                         Pavarde54                          4.75               
            Vardas55                         Pavarde55                          5.65               
            Vardas56                         Pavarde56                          2.26               
            Vardas57                         Pavarde57                          8.15               
            Vardas58                         Pavarde58                          5.90               
            Vardas59                         Pavarde59                          2.58               
            Vardas60                         Pavarde60                          3.94               
            Vardas61                         Pavarde61                          3.43               
            Vardas62                         Pavarde62                          8.68               
            Vardas63                         Pavarde63                          5.40               
            Vardas64                         Pavarde64                          2.54               
            Vardas65                         Pavarde65                          7.58               
            Vardas66                         Pavarde66                          4.53               
            Vardas67                         Pavarde67                          5.50               
            Vardas68                         Pavarde68                          7.57               
            Vardas69                         Pavarde69                          2.34               
            Vardas70                         Pavarde70                          1.41               
            Vardas71                         Pavarde71                          6.86               
            Vardas72                         Pavarde72                          4.72               
            Vardas73                         Pavarde73                          2.40               
            Vardas74                         Pavarde74                          4.20               
            Vardas75                         Pavarde75                          2.86               
            Vardas76                         Pavarde76                          8.04               
            Vardas77                         Pavarde77                          8.06               
            Vardas78                         Pavarde78                          6.32               
            Vardas79                         Pavarde79                          3.37               
            Vardas80                         Pavarde80                          4.50               
            Vardas81                         Pavarde81                          3.94               
            Vardas82                         Pavarde82                          4.38               
            Vardas83                         Pavarde83                          4.39               
            Vardas84                         Pavarde84                          3.33               
            Vardas85                         Pavarde85                          7.38               
            Vardas86                         Pavarde86                          5.96               
            Vardas87                         Pavarde87                          1.41               
            Vardas88                         Pavarde88                          3.65               
            Vardas89                         Pavarde89                          5.21               
            Vardas90                         Pavarde90                          7.87               
            Vardas91                         Pavarde91                          6.07               
            Vardas92                         Pavarde92                          3.21               
            Vardas93                         Pavarde93                          5.35               
            Vardas94                         Pavarde94                          8.34               
            Vardas95                         Pavarde95                          5.87               
            Vardas96                         Pavarde96                          7.23               
            Vardas97                         Pavarde97                          6.08               
            Vardas98                         Pavarde98                          4.16               
            Vardas99                         Pavarde99                          6.75               
